Input.hotel_name,Input.hotel_address,Input.p-slot0,Input.p-slot1,Input.p-slot2,Input.p-slot3,Input.p-slot4,Input.p-slot5,Input.r-slot0,Input.r-slot1,Input.r-slot2,Input.r-slot3,Answer.turn_01_agent,Answer.turn_02_customer,Answer.turn_03_agent,Answer.turn_04_customer,Answer.turn_05_agent,Answer.turn_06_customer,Answer.turn_07_agent,Answer.turn_08_customer,Answer.turn_09_agent,Answer.turn_10_customer,Answer.turn_11_agent,Answer.turn_12_customer,Answer.turn_13_agent,Answer.turn_14_customer
Hilton Garden Inn Denver Downtown,"1400 Welton St, Denver, CO 80202, United States",feels_modern,feels_contemporary,has_business_center,feels_upscale,has_restaurant,has_convention_center,has_desk_in_rooms,has_microwave_in_rooms,has_minifridge_in_rooms,has_sofa_bed,"Good evening, how may I be off assistance to you this evening?","Hi, I'm going on a business trip soon and need to find a nice, upscale place to stay at in downtown Denver.",I'll be happy to help you out with your request. What features will you be needing?,"I need it to have a convention center and a business center, for certain.","Sure, and how about room amenities?",I always like to have a microwave and minifridge.,Let me have a look for you. You mentioned you're going to be on a business trip - do you need a desk in your room as well?,"That would be nice, yes.","How about the Hilton Garden Inn Denver Downtown? It's a modern, contemporary hotel that has both a business center and a convention center. In addition, each room has a desk as well as a microwave and minifridge.","That sounds good - how about a restaurant, is there one available inside the hotel?","Yes, there is one on-site. I'm not sure that you'll need it, but each room also has a sofa bed, too.","That sounds like what I need, thank you.",{},{}
Holiday Inn Express Philadelphia-Midtown,"1305 Walnut Street, Philadelphia, PA 19107, USA",has_breakfast_buffet,has_business_center,feels_upscale,feels_modern,has_free_breakfast,has_free_breakfast_buffet,has_coffee_in_rooms,has_desk_in_rooms,has_microwave_in_rooms,has_minifridge_in_rooms,"Hello, and how may I help you today?","Yes, I need a hotel in midtown Philadelphia. I'd prefer one that's around 2.5 to 3 stars and has free breakfast.","Absolutely, I'll be happy to help you!","Thank you. I also need it to have a business center, as well.",Alright. Are there any other amenities you need?,"It wouldn't hurt if it had free breakfast or a breakfast buffet. I'd like one with a restaurant, but it isn't mandatory.","Okay, let me have a look.",Thanks.,"How about Holiday Inn Express Philadelphia-Midtown? It's a nicely reviewed hotel with a free breakfast - actually, a free breakfast buffet, even better! They have a business center near the lobby, and a microwave and minifridge in each room. It doesn't feature a restaurant, but you'll be surprised at the things you can whip up in a microwave if you get creative!","Yeah, sounds great! What other features do the rooms have?","Well, there's a desk in each one, along with coffee, too. And the decor is modern and upscale, so you won't find any drab hotel furnishings here!",That sounds like what I'm looking for. What is the address?,"Great! It's located at 1305 Walnut Street, Philadelphia, PA 19107, USA.","Thanks, you've been very helpful."
Embassy Suites by Hilton Waikiki Beach Walk,"201 Beach Walk, Honolulu, HI 96815, USA",feels_relaxing,feels_casual,has_business_center,has_fitness_center,has_meeting_rooms,has_wi_fi_free,has_balcony_in_rooms,has_microwave_in_rooms,has_minifridge_in_rooms,has_sofa_bed,Hello this is the Embassy Suites by Hilton Waikiki Beach Walk. How can I help you? , I'm looking for a hotel to stay on business. ," Excellent! Our hotel has a business center, and has wi-fi free to help you work. It also has meeting rooms available for use. The hotel has a wonderful fitness center to work off the work stress."," It's not too uptight of a place, right? ", Not at all! The hotel feels relaxing in atmosphere. Our hotel has balcony in rooms to help you unwind after a long day. ," Thank you, I appreciate the information. ", What other questions may I answer? , Do you have the address? I need to see if it's close to where I am doing business. ," Certainly! The hotel address is 201 Beach Walk, Honolulu, HI 96815, USA. ", That looks like a good option for me. Is there dining nearby? ," Indeed there is. There are many restaurants in walking distance. If you feel like staying in for something that feels casual and taste great, the hotel has microwave in rooms, and some rooms in the hotel has minifridge in rooms. The premium offerings of the hotel has sofa beds available. ", Thank you ,{},{}
Holiday Inn Club Vacations Smoky Mountain Resort,"404 Historic Nature Trail, Gatlinburg, TN 37738, USA",feels_relaxing,feels_casual,feels_cozy,has_childrens_club,has_fitness_center,has_game_room,has_balcony_in_rooms,has_fireplace,has_fire_pit,has_kitchen_in_room,Hello this is the Holiday Inn Club Vacations Smoky Mountain Resort. How can I help you. , I'm looking for a good hotel for a vacation. Can you tell me about your hotel? ," Gladly! The hotel feels relaxing, perfect for a getaway! It feels cozy and our hotel is perfect for the winter. ", Can you tell me more about the rooms? , Of course! Each room has a balcony in rooms. It also has a fireplace and also has a fire pit. Each room also has a kitchen in room., We're traveling with a small child. Do you accommodate children? ," We are very child friendly! The hotel has a children’s club, as well as has game room. The hotel feels casual and you will not need to dress for dinner. ", Great! Any other amenities? , The hotel has a fitness center for use during your stay. , Fantastic! You've sold me. What is your address? ," 404 Historic Nature Trail, Gatlinburg, TN 37738, USA. We hope to hear from you soon to book your stay! ",{},{},{}
Courtyard Nashville Downtown,"170 4th Ave N, Nashville, TN 37219, USA",feels_contemporary,feels_modern,has_meeting_rooms,has_restaurant,has_wi_fi_free,is_historic,has_coffee_in_rooms,has_desk_in_rooms,has_minifridge_in_rooms,has_whirlpool_tub,Hello what can I help you with today.,I am going to a conference in Nashville and I need a hotel room for 3 nights. I need to check in on Friday and check out on Monday.,What amenities will you be requiring so I can search our database.,"I would prefer it to be an older hotel but upgraded so it feel more contemporary, it has to have wi-fi in the room, coffee maker with a minifridge. I also would need some type of room where I can meet a client on Saturday.","Okay let me take a look for you. Okay I found a hotel in Downtown Nasville. Courtyard Nashville Downtown is near the historic area. The listing states it is a historic hotel as well, however it has been updated recently so it feels contemporary. The listed amenities are free wifi in all the rooms, coffee makers, and mini fridges in select rooms. It also states it has a meeting room that appears to be available on the date you requested. Is that all you are needing or do you prefer other things?",Oh I would also like it to have a whirlpool tub as well as a restaurant on site so I don't have to leave the hotel for my meals.,Okay that's great. Tt appears this hotel has whirlpool tubs in most rooms and a 5 star restaurant on site.,Do the non smoking rooms have desk in there so I can work on my laptop.,"Absolutely it has a nice sized desk where you can even put your portable printer. So even though it states this hotel is historic, it has been moderized to meet everyone's current requirements. Shall I go ahead and book you for this hotel for this weekend?",Yes that would be great. Thank you so much for helping me.,{},{},{},{}
Comfort Inn Downtown Nashville-Vanderbilt,"1501 Demonbreun St, Nashville, TN 37203, USA",feels_casual,feels_relaxing,has_business_center,has_free_breakfast,has_free_parking,has_roadside_lodging,has_coffee_in_rooms,has_private_bathroom_outside_room,has_microwave_in_rooms,has_minifridge_in_rooms,how may i help you today?,id like a room somewhere in nashville that feels casual.,the Comfort Inn Downtown Nashville-Vanderbilt is described as being casual and relaxing.,can you tell me more about it?,"the property offers a business center, free breakfast, free parking, and roadside lodging.",what are the rooms like?,"the all contain coffee makers, microwaves, and mini fridges. each one has a private bathroom outside of the room.",whats the location?,"it is located at 1501 Demonbreun St, Nashville, TN 37203, USA.",sounds great!,{},{},{},{}
Crowne Plaza South Beach - Z Ocean Hotel,"1437 Collins Avenue, Miami Beach, FL 33139, United States",feels_elegant,has_business_center,has_boardwalk,has_bar_onsite,feels_luxury,feels_chic,has_balcony_in_rooms,has_microwave_in_rooms,has_rooms_upgraded,has_sofa_bed,how can i help you?,im looking for a room in miami.,"id recommend the Crowne Plaza South Beach. its address is 1437 Collins Avenue, Miami Beach, FL 33139. would that work for you?",can you describe the property to me?,"the property feels elegant, chic, and luxurious. it features a business center, boardwalk, and an onsite bar.",can you describe the rooms?,"the rooms have a balcony, microwave, and sofa bed. .",can i upgrade my room?,of course!,sounds great. please book me.,{},{},{},{}
Desert Palms Hotel and Suites,"631 W Katella Ave, Anaheim, CA 92802, United States",feels_relaxing,feels_cozy,has_bar_onsite,has_breakfast_buffet,feels_quaint,feels_casual,has_coffee_in_rooms,has_microwave_in_rooms,has_kitchenette_in_rooms,has_minifridge_in_rooms,how can i help you today? , im looking for a room to rent in anaheim california. ," id recommend the Desert Palms Hotel and Suites. its address is 631 W Katella Ave, Anaheim, CA 92802, United States. ", that might work. can you tell me about the property amenities? , the property has a breakfast buffet and onsite bar. , how does this place feel? im looking for somewhere laid back. ," it has been described as relaxing, quaint, and casual. it has a really nice cozy feel about it.", what do the rooms include? ," coffee makers, microwaves, and mini fridges are all included in each rooms kitchenette area. ", this place sound like the one for me.    ,{},{},{},{}
Disney's Saratoga Springs Resort & Spa,"1960 Broadway, Lake Buena Vista, FL 32830, United States",has_child_care,has_area_play,feels_elegant,feels_luxury,has_bicycles_for_rent,feels_traditional,has_microwave_in_rooms,has_kitchen_in_room,has_laundry_in_rooms,has_minifridge_in_rooms,ho can i help you?,i need a hotel at disney.,"Disney's Saratoga Springs Resort & Spa at 1960 Broadway, Lake Buena Vista, FL 32830, United States would be a nice choice.",do they have child care?,the do have child care and a play area. you also might like that they rent bicycles.,what is the feel of the place?,it has been described as traditional with a elegant and luxury feel.,what are the rooms like?,they all feature a kitchen with microwave and mini fridge. laundry is also available in rooms.,what is the address?,"the Hotel address is 1960 Broadway, Lake Buena Vista, FL 32830, United States",{},{},{}
DoubleTree by Hilton Hotel Atlanta Downtown,"160 Ted Turner Drive Northwest, Atlanta, GA 30303, USA",feels_casual,feels_contemporary,feels_modern,has_bar_onsite,has_meeting_rooms,has_restaurant,has_balcony_in_rooms,has_coffee_in_rooms,has_desk_in_rooms,has_microwave_in_rooms,where are you looking for a hotel at?,id like to stay at the doubletree in atlanta. can you tell me more about it?,"are you referring to the DoubleTree by Hilton Hotel in downtown atlanta? with the address of 160 Ted Turner Drive Northwest, Atlanta, GA 30303, USA?","yes, that is the one.","the hotels feel as been described as casual, yet contemporary and modern.",sounds good so far.,"the property features an onsite bar, restaurant, and has meeting rooms.",what about the rooms?,"they all contain coffee, a desk, and a microwave. they also feature a balcony.",this sound like a good place for me.,{},{},{},{}
Embassy Suites by Hilton Fort Lauderdale 17th Street,"1100 SE 17th St, Fort Lauderdale, FL 33316, USA",feels_casual,feels_relaxing,feels_upscale,has_bar_onsite,has_airport_shuttle,has_free_breakfast,has_balcony_in_rooms,has_rooms_upgraded,has_sofa_bed,has_wet_bar_in_rooms,how can i help you?,i need a hotel that feels casual and relaxing yet upscale.,"the embassy suites by hilton at 1100 SE 17th St, Fort Lauderdale, FL 33316, USA would probably work for you.",what are the property attributes?,"they offer a free breakfast, airport shuttle, and onsite bar.",i need a room with a sofa bed. is that available there?,"yes, the rooms contain a sofa bed, wet bar, and balcony. you also have the option to upgrade.",and this place is in fort lauderdale?,"yes, it is.",sounds like it would fit my needs.,{},{},{},{}
Embassy Suites by Hilton Miami International Airport,"3974 Northwest South River Drive, Miami, FL 33142, USA",has_business_center,has_bar_onsite,feels_elegant,feels_chic,has_pond,has_free_breakfast,has_coffee_in_rooms,has_balcony_in_rooms,feels_modest,has_kitchenette_in_rooms,what kind of hotel are you looking for?,i really need something that has a business center in miami florida.,Embassy Suites by Hilton at Miami International Airport would be a great place.,does it have an onsite bar too?,"it has a business center, onsite bar, and a pond feature on its property. it also features a free breakfast.",how would you describe the feel of this place?,it has been reported to feel elegant and chic.,im thinking about booking a few rooms for my coworkers. do the rooms offer amenities for someone to comfortably stay a while?,the rooms offer a kitchenette and coffee is provided inside the rooms. they ave a modest feel and even have a balcony in them.,i think i will give it a shot then.,{},{},{},{}
Embassy Suites by Hilton New Orleans Convention Center,"315 Julia St, New Orleans, LA 70130, USA",feels_elegant,has_business_center,has_bar_onsite,feels_contemporary,feels_modern,has_convention_center,has_balcony_in_rooms,has_coffee_in_rooms,has_patio_in_rooms,has_microwave_in_rooms,how may i help you?,i would like to ask about the Embassy Suites by Hilton at the New Orleans Convention Center.,what would you like to know?,what to the rooms have?,they all have a balcony and patio. they each contain coffee and a microwave.,what does this place feel like?,"it has been described as elegant and modern, yet contemporary.",what are the property amenities?,the property offers and osite bar and business center.,what is the address for this place?,"the Hotel address is 315 Julia St, New Orleans, LA 70130, USA.",thank you,{},{}
Embassy Suites Chicago Downtown Magnificent Mile,"511 N Columbus Dr, Chicago, IL 60611, USA",feels_upscale,has_bar_onsite,has_business_center,has_free_breakfast,has_fitness_center,has_meeting_rooms,has_coffee_in_rooms,has_microwave_in_rooms,has_rooms_upgraded,has_minifridge_in_rooms,how can i assist you?," what is the name of the hotel at 511 N Columbus Dr, Chicago, IL 60611, USA?", that would be the Embassy Suites of downtown chicago by Magnificent Mile.," yes, that is it! would you say that it is upscale?"," it has been described that way, yes.", what does the property offer?," it has an onsite bar, business center, fitness center and meeting", rooms. it also provides a free breakfast., how are the rooms?," the rooms offer coffee, a microwave, and mini fridge. you may also", upgrade your room., the normal rooms sound nice enough. id like to make a booking.,{},{}
Encore,"3131 South Las Vegas Boulevard, Las Vegas, NV 89109, USA",feels_upscale,has_casino,feels_luxury,has_bar_onsite,has_resort_fees,swanky_lodging,has_floor_to_ceiling_windows_in_rooms,has_rooms_upgraded,has_wet_bar_in_rooms,has_soaking_tubs_in_rooms,how can i help you?,im looking for a room the feels upscale and luxurious.,"the encore would fit with your needs. it features a casino, swanky lodge, and has a bar onsite with no resort fees.",sounds nice.  how are the rooms though?,"the rooms have a wet bar, soaking tubs, and floor to ceiling windows.",that may not be enough. can i upgrade?,of course!,what is the address please?,"the Hotel address is 3131 South Las Vegas Boulevard, Las Vegas, NV 89109, USA.",thanks,{},{},{},{}
Fairfield Inn & Suites Gatlinburg North,"168 Parkway, Gatlinburg, TN 37738, United States",feels_relaxing,feels_casual,has_business_center,feels_upscale,has_parking,has_fitness_center,has_balcony_in_rooms,has_coffee_in_rooms,has_desk_in_rooms,has_minifridge_in_rooms,how can i help you?,im looking to stay at the Fairfield Inn & Suites in north Gatlinburg.,"the one at 168 Parkway, Gatlinburg, TN 37738, United States?",yes. please tell me about it.,it has been described as having an upscale yet casual feel. people find it relaxing.,does it have parking?,"the property features parking, a business center, and a fitness center.",how are the rooms?,"the rooms are listed having coffee, a desk, and a mini fridge. they even have balconies.",sounds great and just what i was looking for.,{},{},{},{}
"Fairmont Olympic Hotel, Seattle","411 University Street, Seattle, WA 98101, USA",has_bar_onsite,feels_elegant,feels_upscale,has_meeting_rooms,has_wi_fi_free,has_swimming_pool_indoor,has_floor_to_ceiling_windows_in_rooms,has_desk_in_rooms,has_bathroom_marble_in_rooms,has_room_service,how may i assist you?, im looking for a room somewhere that has free wifi in their meeting rooms., the Fairmont Olympic Hotel in Seattle has these features and also, offers an indoor swimming pool and onsite bar. what type of feel were, you looking for?, id like something really nice., this hotel has been described as elegant and upscale. would that work?, sounds good so far. how are the rooms though?," the rooms contain desks, floor to ceiling windows, and marble bathrooms.", can i get room service?, yes., what is this hotels location?," the Hotel address is 411 University Street, Seattle, WA 98101, USA.", thanks
Four Points by Sheraton French Quarter,"541 Bourbon Street, New Orleans, LA 70130, USA",feels_upscale,has_bar_onsite,feels_elegant,feels_traditional,has_business_center,has_meeting_rooms,has_desk_in_rooms,has_balcony_in_rooms,has_minifridge_in_rooms,is_airy,how can i help you?, i need a hotel in new orleans for the weekend., Four Points by Sheraton is in the French Quarter. its address is 541," Bourbon Street, New Orleans, LA 70130, USA.", is it upscale? i want only the best., it has been described as upscale with an elegant yet traditional feel., what is included in the rooms?, the rooms are airy and feature a balcony and mini fridge. a deak is, also included in case you need it to work., this will be a business trip.," great! the property also features a business center, onsite bar and", meeting rooms., this sounds perfect for me.,{}
Four Seasons Hotel,"57 E 57th St, New York, NY 10022, USA",feels_luxury,feels_contemporary,feels_elegant,feels_chic,has_bar_onsite,feels_upscale,has_designer_toiletries,has_bathroom_marble_in_rooms,has_room_service,has_rooms_upgraded,how can i assist you?,"id like to find a hotel in new york, new york that feels upscale.","the four seasons hotel at 57 E 57th St, New York, NY 10022, USA fits that description. it has also been described as feeling luxurious, elegant, and contemporary. many describe it as chic.",im very picky. is there a bar onsite?,yes.,what are the rooms like?,"they contain designer toiletries, marble bathrooms, and have room service available.",what if i want to upgrade.,that option is available.,sounds perfect.,{},{},{},{}
Four Seasons Hotel Seattle,"99 Union St, Seattle, WA 98101, USA",feels_elegant,has_business_center,feels_upscale,feels_luxury,has_restaurant,has_spa,has_fireplace,has_en_suite_bathroom,has_mini_bar_in_room,has_private_bathroom,how may i help you today?,id like a hotel that offers a spa. do you know of any?,"the Four Seasons Hotel in Seattle offers a spa, restaurant, and business center.",what is the feel of this place?,"it has been described as elegant, upscale, and of luxury.",what is this places address?,"the Hotel address is 99 Union St, Seattle, WA 98101, USA.",what are its room like?,"the rooms feature privates bathrooms, suite bathrooms, mini bar, and fireplaces.",sounds very nice. i will take it.,{},{},{},{}
Courtyard Miami Downtown,"200 Southeast 2nd Avenue, Miami, FL 33131, USA",feels_upscale,has_business_center,feels_contemporary,feels_modern,has_meeting_rooms,has_restaurant,has_coffee_in_rooms,has_desk_in_rooms,has_rooms_upgraded,has_sofa_bed,How can I be of service to you today? ," Good morning, yes, I am looking for a hotel in the Miami Florida area with a modern feel. ", I would be happy to help you with that! Is there anything in particular you are looking for? ," Well, I dont need anything too fancy. I am on a business and trip and just need a simple room for the night. ", Excellent! I have just the place! Courtyard Miami downtown is just the place for you! , Can you tell me a little about it? ," Yes, it is a contemporary hotel with an upscale feel. It has upgraded rooms. It has all your basic amenities, coffee in the room, in hotel restaurant, meeting rooms if you need them. It has a desk in the room as well. Would you like me to book the room? ", That sounds excellent! I would like to make a reservation for next tuesday. Does the room have extra beds incase someone is with me?," Sounds great! let me get this started for you and yes, it has a sofa bed. ", Thank you very much!    ,{},{},{},{}
Hotel Indigo Brooklyn,"229 Duffield Street, Brooklyn, NY 11201, USA",feels_hip,has_bar_onsite,has_business_center,has_fitness_room,has_restaurant,has_wi_fi_free,has_coffee_in_rooms,has_room_service,has_rooms_upgraded,has_minifridge_in_rooms,"Good evening, how can i help you?", I am looking for a good hotel to have a business conference in the Brooklyn area.," Sure, let me see what i can find. Hotel Indigo Brooklyn may be just what you are looking for. It has a hip feel with an onsite bar, Business center, restaurant, free wifi. Its got it all.", That sounds excellent. What room amenities are offered?, There is coffee in the rooms and a mini fridge. All the rooms have been recently upgraded and did i mention it has a fitness room? I has full room service as well.," Wow, that sounds great.Whats the address? I need to make sure its in the right area for me."," Sure, its 229 Duffield Street, Brooklyn, NY 11201, USA."," Thanks, thats just the right spot. Go ahead and make me a reservation for next Tuesday.", excellent! Its done!, Thanks you have been extremely helpful!,{},{},{},{}
Embassy Suites by Hilton Fort Lauderdale 17th Street,"1100 SE 17th St, Fort Lauderdale, FL 33316, USA",feels_casual,feels_relaxing,feels_upscale,has_bar_onsite,has_airport_shuttle,has_free_breakfast,has_balcony_in_rooms,has_rooms_upgraded,has_sofa_bed,has_wet_bar_in_rooms,"Hello, how can I help you today?","Hello! I'm planning to visit Florida for a conference, and I need a hotel while I'm there.","Great, where in Florida will you be staying?",I'm going to be in Fort Lauderdale.,I can help you there. What kind of amenities do you need?,"Well, I won't have my car since I'm flying there, so a car service would be great. I don't know if any hotels do that.",The Embassay Suites by Hilton in Fort Lauderdale actually has an airport shuttle that could pick you up.,Really? That would be great. Does it have an option for breakfast? I don't want to be running around hungry before my conference.,"It offers a free breakfast and also has its own bar, as well as a wet bar in the room.",What kind of rooms are they?,"The rooms have an upscale-casual feeling. There are upgrades available, but the standard room comes with a sofa bed and a balcony to make it feel relaxing.",What's the address? I want to know if it's close to the conference center.,"The address is 1100 SE 17th St, Fort Lauderdale, FL 33316, USA.",That's perfect!
Embassy Suites by Hilton Miami International Airport,"3974 Northwest South River Drive, Miami, FL 33142, USA",has_business_center,has_bar_onsite,feels_elegant,feels_chic,has_pond,has_free_breakfast,has_coffee_in_rooms,has_balcony_in_rooms,feels_modest,has_kitchenette_in_rooms,"Hello, what can I help you find today?","Hi, I'm taking a vacation to Miami later this year. Could you help me find a hotel room for a week or so?",Of course. Is there a specific area of Miami you'd like to stay in?,"Oh, anywhere in Miami is fine. I'd love something nice and classy though.",Alright. Do you have any particular wants for what the hotel offers?,"If there's a way for me to check into work while I'm there, that would be great. And I want a good environment around the place to be sure I can relax.","Well, the Embassy Suites by Hilton right at the Miami International Airport is a chic and elegant place that sounds like it has what you need. It's located on 3974 Northwest South River Drive in Miami. There's a business center where you could work inside, and a pond outside to enjoy.","That does sound nice, but what about the rooms? I don't want something dull. I don't want to feel like I must leave my room if I don't feel like it.","I think the rooms will be perfect for what you want. They have a kitchenette and coffee in the rooms, and they even have their own balconies to enjoy the Miami view.","Oh, my. I don't want it to be too overwhelming.",Not to worry. The rooms are supposed to have a modest feeling.,"You mentioned coffee and a kitchenette in the rooms, but is there anywhere to eat at the hotel besides my room?",Absolutely. The hotel has complimentary free breakfast and its own bar.,I think that sounds wonderful. I think I'll book there.
Embassy Suites by Hilton Waikiki Beach Walk,"201 Beach Walk, Honolulu, HI 96815, USA",feels_relaxing,feels_casual,has_business_center,has_fitness_center,has_meeting_rooms,has_wi_fi_free,has_balcony_in_rooms,has_microwave_in_rooms,has_minifridge_in_rooms,has_sofa_bed,"Hello, what can I do for you today?"," My boss must have decided I needed a tan, because hes sending me to Hawaii to meet with some new clients there, and that means I need a hotel.", Great. Where in Hawaii are you headed? , Their company headquarters is in Honolulu. Can you find something there?," Absolutely, let me look. Will you need any specific amenities while youre there?"," I really need internet access, and it would be great if there was somewhere I could meet with the clients just in case they want to meet at the hotel. "," It sounds like the Embassy Suites by Hilton on Waikiki Beach Walk might work for you. They have a casual atmosphere but offer free wi-fi and a business center, as well as their own meeting rooms for guests."," Alright, youve got my attention with that! Where is it? I dont want to be too far from the company HQ."," The address is 201 Beach Walk, in Honolulu, Hawaii, zip code 96815.", Beach Walk sounds close enough. What are the rooms like? I dont want to feel cramped. I like to move around.," The rooms have a casual design with a sofa bed, along with their own microwave and minifridge. Theres also a fitness center on site.", Nice. Are there any windows? I dont want to miss the view while Im there., Not only windows - each room has a balcony to add to the relaxing atmosphere.," Fantastic. Might as well make the most of it while Im there, right? Im sold."
Four Seasons Hotel,"57 E 57th St, New York, NY 10022, USA",feels_luxury,feels_contemporary,feels_elegant,feels_chic,has_bar_onsite,feels_upscale,has_designer_toiletries,has_bathroom_marble_in_rooms,has_room_service,has_rooms_upgraded,"Hi, how can I help you today?",I'm booking a hotel for my honeymoon!,Congratulations! I'd love to help you find a place for that. Where are you planning to go?,We're going to New York City to see a Broadway play. I'm so excited. I want the best of the best.,The best it is! Do you have any specific requests before I start looking?,"Something luxurious, and I definitely need room service.","How about the Four Seasons Hotel? It's an upscale hotel known for its luxury rooms, and it offers room service as well as upgrades.",How luxury are we talking?,"The decor is elegant but contemporary, and the furnishings include marble fixtures in the bathroom and designer toiletries.","Oh, that sounds nice. Is there a restaurant?","No, but there is a bar, and it's in a great location for finding nearby places to eat.",That's a good point. I want to visit some of the fancy restaurants I've heard about. Is it near those?,"It's in a very lively spot, at 57 East 57th Street in New York City. It's a very chic place.",I'm sold. I can't wait!
DoubleTree Suites by Hilton Hotel Austin,"303 W 15th St, Austin, TX 78701, USA",feels_upscale,feels_elegant,has_business_center,feels_traditional,feels_chic,has_parking,has_balcony_in_rooms,has_kitchen_in_room,has_rooms_upgraded,has_patio_in_rooms,"Good afternoon, how can I help you today?",I'm staying in Austin for a week and I was looking for a Hotel in the area?,"Sure thing, did you have anything in particular you were looking for?","Well, I was looking for a hotel that had a business center, so I can get some work done.",Of course.,I was also looking for a hotel with a kitchen in the room so that we can cook meals and save money on eating out.,"I understand completely, might I suggest the DoubleTree Suites by Hilton Hotel Austin? It had a recent renovation and all the rooms have been upgraded. The hotel also features a business center with high speed internet and office equipment for getting work done. Some of the rooms also feature kitchens for longer term guests.",Great! What's the general feel of the hotel?,"It's a sort of upscale hotel with an elegant feel. The rooms themselves vary in terms of decor; some are more traditional, while others are more chic.",Great! I think I'll take it! Do the rooms have balconies?,"Yes, all the rooms do, except for the ones on the ground floor, which have patios instead.",Well I'm fine with either option.,"Excellent, I'll go ahead and book the room for you. The address is 303 W 15th St, Austin TX 78701 USA. The hotel also has parking on site. Enjoy your stay and thank you for using our service.",Thank you!
Holiday Inn Express New York City Fifth Avenue,"15 West 45th Street, New York, NY 10036, USA",feels_traditional,has_bar_onsite,feels_upscale,has_business_center,has_free_breakfast,has_wi_fi_free,has_coffee_in_rooms,has_desk_in_rooms,has_mini_bar_in_room,has_microwave_in_rooms,"Good evening, how may I help you?", I'm looking for a hotel in Midtown Manhattan., Sure thing. Were there any particulars you were looking for?, Nothing too fancy. Although I do want to make sure there's a microwave in the room so I can nuke munchies after I come back from the bars., I completely understand. I'm assuming you'd be looking for a hotel with a mini-bar for convenience?," Exactly. And coffee makers in the room too, so I can beat back the hangover.", I think I have a place in mind for you. It's the Holiday Inn Express New York City Fifth Avenue. It's a modern hotel with an upscale yet traditional feel. It has all the amenities you're looking for, value and in-room convenience., Awesome! Are there any other features I should know of?," The hotel features a business center onsite, as well as free wifi and desks in every room, should your trip be more business oriented.", I don't have to worry about that this time.," In that case, you'll be pleased to know there's a bar onsite.", Nice! Sounds like I'll take it!," A distinguished choice. The hotel is located at 15 West 45th Street, New York, NY 10036 USA. They offer a free continental breakfast every morning. Enjoy your stay."
Disney's Grand Californian Hotel & Spa,"1600 Disneyland Drive, Anaheim, CA 92802, USA",feels_casual,feels_relaxing,feels_rustic,feels_elegant,has_bar_onsite,has_onsite_cafe,has_bunk_beds_in_rooms,has_coffee_in_rooms,has_room_service,has_sofa_bed,Thanks for calling. How can I help you plan your vacation today?, I am looking to vacation at Disney Land in California and need a hotel., Great! I'd be happy to help you. Who will you be traveling with?, I will be traveling with my wife and our two children., OK. Let me tell you about Disney's Grand Californian Hotel & Spa., I think I've heard of that but it sounds fancy. Is it too elegant for kids?," It does have somewhat of an elegant feel but the hotel also feels casual and relaxing with a rustic feel so will be great for kids. Also, you have the option of bunk beds which would be fun for kids.", They would love that! What other options are offered at this hotel?, There is a cafe as well as a bar on site and room service is available so if you are tired from spending all day in the park you can relax at the hotel rather than having to find a restaurant., That sounds great! Does the cafe include a coffee shop?," I have even better news for you, there is coffee in the rooms!"," That's perfect, my wife will be thrilled about that. Just one more question, my wife might be a little nervous about just having bunk beds for the kids. Are there other bed options?", There are! You can also request a sofa bed if your kids seem a little small for bunk beds., That all sounds great! Thanks for your help!
Four Seasons Resort Orlando at Walt Disney World Resort,"10100 Dream Tree Blvd, Orlando, FL 32836, USA",feels_chic,feels_luxury,feels_elegant,has_bar_onsite,feels_upscale,has_golf_course,has_freestanding_bathtub,has_balcony_in_rooms,has_fireplace,has_bathroom_marble_in_rooms,What can I assist you in finding today?, Hi. I need to find a hotel near Disney.," OK, there are lots of those. Tell me a little bit about who you are traveling with and what you plan on doing.", My new wife and I will be coming for our honeymoon. We want to go to Disney World but we don't really want to stay at a hotel that is swarming with kids., I understand completely and let me tell you about the Four Seasons Resort. It is an upscale hotel that is very chic yet still luxurious and elegant., That is what I'm looking for. Do you offer any romantic options since this is our honeymoon?, Yes! The rooms are very romantic and elegant. Each has marble in the bathrooms and a freestanding bathtub as well as a fireplace. There is also a bar onsite so you could arrange for wine or champagne., My fiancee will love the sound of that. Are there any other activities that are offered? She has some friends who she would like to get together with for lunch and I don't think I'll go., There is a golf course if you are a golfer., I am! That sounds great!, Yes! And each room has a balcony so when you're done with your round of golf you can come back and relax on your balcony until your wife returns.,{},{},{}
